"source_file","id_prodi","nama_prodi","jenjang","fakultas","extract_ts","row_hash"
dummy_prodi.csv,P01,Rekayasa Instrumentasi dan Automasi,S1,FTI,2025-12-06 21:36:41.563,
dummy_prodi.csv,P02,Rekayasa Kehutanan,S1,FTI,2025-12-06 21:36:41.563,
dummy_prodi.csv,P03,Rekayasa Keolahragaan,S1,FTI,2025-12-06 21:36:41.563,
dummy_prodi.csv,P04,Rekayasa Kosmetik,S1,FTI,2025-12-06 21:36:41.563,
dummy_prodi.csv,P05,Rekayasa Minyak dan Gas,S1,FTI,2025-12-06 21:36:41.563,
dummy_prodi.csv,P06,Teknik Biomedis,S1,FTI,2025-12-06 21:36:41.563,
dummy_prodi.csv,P07,Teknik Biosistem,S1,FTI,2025-12-06 21:36:41.563,
dummy_prodi.csv,P08,Teknik Elektro,S1,FTI,2025-12-06 21:36:41.563,
dummy_prodi.csv,P09,Teknik Fisika,S1,FTI,2025-12-06 21:36:41.563,
dummy_prodi.csv,P10,Teknik Geofisika,S1,FTI,2025-12-06 21:36:41.563,
dummy_prodi.csv,P11,Teknik Geologi,S1,FTI,2025-12-06 21:36:41.563,
dummy_prodi.csv,P12,Teknik Industri,S1,FTI,2025-12-06 21:36:41.563,
dummy_prodi.csv,P13,Teknik Informatika,S1,FTI,2025-12-06 21:36:41.563,
dummy_prodi.csv,P14,Teknik Kimia,S1,FTI,2025-12-06 21:36:41.563,
dummy_prodi.csv,P15,Teknik Material,S1,FTI,2025-12-06 21:36:41.563,
dummy_prodi.csv,P16,Teknik Mesin,S1,FTI,2025-12-06 21:36:41.563,
dummy_prodi.csv,P17,Teknik Pertambangan,S1,FTI,2025-12-06 21:36:41.563,
dummy_prodi.csv,P18,Teknik Sistem Energi,S1,FTI,2025-12-06 21:36:41.563,
dummy_prodi.csv,P19,Teknik Telekomunikasi,S1,FTI,2025-12-06 21:36:41.563,
dummy_prodi.csv,P20,Teknik Industri Pertanian,S1,FTI,2025-12-06 21:36:41.563,
dummy_prodi.csv,P21,Teknologi Pangan,S1,FTI,2025-12-06 21:36:41.563,
