"source_file","id_anggaran","kode_prodi","total_anggaran","tahun","extract_ts","row_hash"
dummy_anggaran.csv,AG000027,P14,108532070.89,2022,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000006,P15,85965113.03,2021,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000038,P07,119080493.28,2024,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000053,P11,124690784.53,2020,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000084,P20,60691611.18,2020,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000073,P18,147359037.59,2024,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000097,P05,91263056.91,2020,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000105,P14,163224115.8,2022,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000003,P21,64835528.95,2023,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000041,P20,143620723.74,2024,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000090,P04,94110673.88,2024,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000048,P08,170723804.54,2024,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000052,P08,67478831.1,2023,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000079,P08,72686044.42,2023,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000016,P16,52201885.26,2020,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000033,P06,186856233.73,2023,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000023,P10,152290067.48,2024,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000066,P12,125167717.6,2021,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000100,P10,155374935.98,2020,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000091,P04,118766510.05,2024,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000032,P18,144882416.69,2021,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000104,P17,58835377.28,2021,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000037,P01,196844864.97,2021,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000013,P10,163625795.14,2021,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000004,P13,151951003.28,2022,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000088,P12,122083903.15,2022,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000067,P07,157080956.79,2021,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000024,P10,73517203.27,2020,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000060,P05,147182026.03,2024,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000035,P21,88483775.94,2022,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000015,P13,105222534.87,2024,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000040,P08,105093866.16,2022,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000083,P19,99144569.25,2023,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000031,P14,152342360.69,2023,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000046,P11,130232940.49,2021,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000034,P01,75960356.26,2020,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000025,P18,118115798.49,2020,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000011,P12,63590452.4,2020,2025-12-06 21:36:41.567,
dummy_anggaran.csv,AG000077,P03,112089284.91,2021,2025-12-06 21:36:41.567,
